archive,folder_name,size_bytes,size_mb,file_count
jillem-full-archive,"'auhea 'oe e sanoe - field recordings of hawaiian slack key, 1975 (320kb)",98235712,93.68,21
jillem-full-archive,100 % forested guinea - 100 % guinee forestiere (digital) (flac+320kb),87691671,83.63,13
jillem-full-archive,12 bombazos bailables (vampi soul) (flac 320kb),98520985,93.96,16
jillem-full-archive,14 magnificos bailables (vampisoul) (flac 320kb),101119750,96.44,17
jillem-full-archive,15 years in an ''open boat'' (2cd) (on-u sound) (320kb booklet),442513499,422.01,46
jillem-full-archive,1st annual inner-city talent expo (numero group) (320kb),99787036,95.16,20
jillem-full-archive,20 from 2012 - recently acquired 78s (shellachead annual 2012) (320kb),147483415,140.65,24
jillem-full-archive,"200% dynamite! ska, soul, rocksteady & funk in jamaica (320kb)",150453749,143.48,27
jillem-full-archive,22 band - ''venez voir!..'' (digital) (320kb),96046176,91.6,9
jillem-full-archive,23 skidoo - 7 songs (1982; 2008) (incl. coup 12''   language 12'') (320kb),220468910,210.26,36
jillem-full-archive,23 skidoo - urban gamelan (expanded version) (ltmcd 2530) (320kb booklet),158369630,151.03,22
jillem-full-archive,23 skidoo - urban gamelan (expanded version) (ltmcd 2530) (flac booklet),170326674,162.44,27
jillem-full-archive,"24-carat black - ghetto; misfortune's wealth (stax) (1973, 2018) (320kb)",140320503,133.82,14
jillem-full-archive,24-carat black - gone; the promises of yesterday (numero group) (320kb),91993899,87.73,20
jillem-full-archive,"300% dynamite! ska, soul, rocksteady & funk in jamaica (320kb)",146166502,139.4,25
jillem-full-archive,37th old time fiddler's convention at union grove north carolina (digital) (320kb),115700638,110.34,29
jillem-full-archive,4 etoiles - 4 stars (1984) (digital) (flac 320kb),70149490,66.9,7
jillem-full-archive,4 etoiles - sangonini (320kb),182814902,174.35,30
jillem-full-archive,400 blows - beat the devil 7'' (1982) (digital) (alac 320kb),67658575,64.52,20
jillem-full-archive,"400 blows - yesterday, today, tomorrow, forever (cd, 1989, extra tracks, scans) (320kb)",207324558,197.72,27
jillem-full-archive,"400 blows - yesterday, today, tomorrow, forever (cd, 1989, extra tracks, scans) (flac)",160351742,152.92,23
jillem-full-archive,"400% dynamite! ska, soul, rocksteady & funk in jamaica (320kb)",155164225,147.98,25
jillem-full-archive,45 phobia (goldmine soul supply) (320kb),125878590,120.05,25
jillem-full-archive,"500% dynamite! ska, soul, rocksteady, funk, dancehall, dub (320kb)",105203757,100.33,15
jillem-full-archive,600% dynamite! (320kb),140790914,134.27,20
jillem-full-archive,69 annee melodique - une certaine idee de la variete francaise 1964-1973 (aac vbr),76949918,73.39,21
jillem-full-archive,"9eme festival national des arts et la culture, mars 1973 guinea (digital)",120002612,114.44,13
jillem-full-archive,[cease & desist] diy (cult classics from the post-punk era 1978-82) (320kb),116112610,110.73,17
